instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
5227265,20419,ANDHRACEMT,ANDHRA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE
42497,166,ANDHRAPAP,ANDHRA PAPER,0,,0,0.05,1,EQ,NSE,NSE
34817,136,ANDHRSUGAR,ANDHRA SUGARS,0,,0,0.05,1,EQ,NSE,NSE
82945,324,ANGELBRKG,ANGEL BROKING,0,,0,0.05,1,EQ,NSE,NSE
4264193,16657,ANIKINDS,ANIK INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
37889,148,ANSALAPI,ANSAL PROP & INFRA,0,,0,0.05,1,EQ,NSE,NSE
3500289,13673,ANSALHSG,ANSAL HOUSING,0,,0,0.05,1,EQ,NSE,NSE
2307585,9014,ANUP,THE ANUP ENGINEERING,0,,0,0.05,1,EQ,NSE,NSE
724225,2829,ANURAS,ANUPAM RASAYAN INDIA,0,,0,0.05,1,EQ,NSE,NSE
2941697,11491,APARINDS,APAR INDUSTRIES.,0,,0,0.05,1,EQ,NSE,NSE
5235969,20453,APCL,ANJANI PORTLAND CEM,0,,0,0.05,1,EQ,NSE,NSE
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0,,0,0.05,1,EQ,NSE,NSE
5535489,21623,APEX,APEX FROZEN FOODS,0,,0,0.05,1,EQ,NSE,NSE
6599681,25780,APLAPOLLO,APL APOLLO TUBES,0,,0,0.05,1,EQ,NSE,NSE
6483969,25328,APLLTD,ALEMBIC PHARMA,0,,0,0.05,1,EQ,NSE,NSE
290305,1134,APOLLO,APOLLO MICRO SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0,0.05,1,EQ,NSE,NSE
3676417,14361,APOLLOPIPE,APOLLO PIPES,0,,0,0.05,1,EQ,NSE,NSE
41729,163,APOLLOTYRE,APOLLO TYRES,0,,0,0.05,1,EQ,NSE,NSE
1613313,6302,APOLSINHOT,APOLLO SINDOORI HOTEL,0,,0,0.05,1,EQ,NSE,NSE
2753281,10755,APTECHT,APTECH,0,,0,0.05,1,EQ,NSE,NSE
1456129,5688,ARCHIES,ARCHIES,0,,0,0.05,1,EQ,NSE,NSE
46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
3892225,15204,ARIES,ARIES AGRO.,0,,0,0.05,1,EQ,NSE,NSE
3554561,13885,ARIHANT,ARIHANT FOUN & HOU,0,,0,0.05,1,EQ,NSE,NSE
4419329,17263,ARMANFIN,ARMAN FIN SERV,0,,0,0.05,1,EQ,NSE,NSE
3726593,14557,AROGRANITE,ARO GRANITE IND..,0,,0,0.05,1,EQ,NSE,NSE
4562177,17821,ARSHIYA,ARSHIYA,0,,0,0.05,1,EQ,NSE,NSE
4659713,18202,ARSSINFRA,ARSS INFRA PROJ.,0,,0,0.05,1,EQ,NSE,NSE
49409,193,ARVIND,ARVIND,0,,0,0.05,1,EQ,NSE,NSE
2332417,9111,ARVINDFASN,ARVIND FASHIONS,0,,0,0.05,1,EQ,NSE,NSE
2676993,10457,ARVSMART,ARVIND SMARTSPACES,0,,0,0.05,1,EQ,NSE,NSE
1376769,5378,ASAHIINDIA,ASAHI INDIA GLASS,0,,0,0.05,1,EQ,NSE,NSE
6422529,25088,ASAHISONG,ASAHI SONGWON COLOR,0,,0,0.05,1,EQ,NSE,NSE
2722305,10634,ASAL,AUTOMOTIVE STAMPINGS & AS,0,,0,0.05,1,EQ,NSE,NSE
4505089,17598,ASALCBR,ASSO ALCOHOLS & BREW,0,,0,0.05,1,EQ,NSE,NSE
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0,,0,0.05,1,EQ,NSE,NSE
6247169,24403,ASHIANA,ASHIANA HOUSING,0,,0,0.05,1,EQ,NSE,NSE
5166593,20182,ASHOKA,ASHOKA BUILDCON,0,,0,0.05,1,EQ,NSE,NSE
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE
4716033,18422,ASIANHOTNR,ASIAN HOTELS (NORTH),0,,0,0.05,1,EQ,NSE,NSE
60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE
3811585,14889,ASIANTILES,ASIAN GRANITO IND..,0,,0,0.05,1,EQ,NSE,NSE
4421121,17270,ASPINWALL,ASPINWALL & CO,0,,0,0.05,1,EQ,NSE,NSE
4538369,17728,ASTEC,ASTEC LIFESCIENCES,0,,0,0.05,1,EQ,NSE,NSE
386049,1508,ASTERDM,ASTER DM HEALTHCARE.,0,,0,0.05,1,EQ,NSE,NSE
3691009,14418,ASTRAL,ASTRAL,0,,0,0.05,1,EQ,NSE,NSE
2974209,11618,ASTRAMICRO,ASTRA MICROWAVE,0,,0,0.05,1,EQ,NSE,NSE
1436161,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,0,,0,0.05,1,EQ,NSE,NSE
223745,874,ASTRON,ASTRON PAPER BORD MIL,0,,0,0.05,1,EQ,NSE,NSE
425729,1663,ATFL,AGRO TECH FOODS,0,,0,0.05,1,EQ,NSE,NSE
1552897,6066,ATGL,ADANI TOTAL GAS,0,,0,0.05,1,EQ,NSE,NSE
3477761,13585,ATLANTA,ATLANTA,0,,0,0.05,1,EQ,NSE,NSE
67329,263,ATUL,ATUL,0,,0,0.05,1,EQ,NSE,NSE
7685889,30023,ATULAUTO,ATUL AUTO,0,,0,0.05,1,EQ,NSE,NSE
5436929,21238,AUBANK,AU SMALL FINANCE BANK,0,,0,0.05,1,EQ,NSE,NSE
3077633,12022,AURIONPRO,AURIONPRO SOLN,0,,0,0.05,1,EQ,NSE,NSE
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE
1033473,4037,AUSOMENT,AUSOM ENTERPRISE,0,,0,0.05,1,EQ,NSE,NSE
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0,,0,0.05,1,EQ,NSE,NSE
3611137,14106,AUTOIND,AUTOLINE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
5479937,21406,AVADHSUGAR,AVADH SUG & ENERGY,0,,0,0.05,1,EQ,NSE,NSE
2031617,7936,AVANTIFEED,AVANTI FEEDS,0,,0,0.05,1,EQ,NSE,NSE
3586049,14008,AVTNPL,AVT NATURAL PRODUCTS,0,,0,0.05,1,EQ,NSE,NSE
460033,1797,AWHCL,ANTONY WASTE HDG CELL,0,,0,0.05,1,EQ,NSE,NSE
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE
267265,1044,AXISBNKETF,AXISAMC - AXISBNKETF,0,,0,0.01,1,EQ,NSE,NSE
903681,3530,AXISBPSETF,AXISAMC - AXISBPSETF,0,,0,0.01,1,EQ,NSE,NSE
2415617,9436,AXISCADES,AXISCADES TECH,0,,0,0.05,1,EQ,NSE,NSE
5256193,20532,AXISGOLD,AXIS MF - AXIS GOLD ETF,0,,0,0.01,1,EQ,NSE,NSE
923649,3608,AXISHCETF,AXISAMC - AXISHCETF,0,,0,0.01,1,EQ,NSE,NSE
5440513,21252,AXISNIFTY,AXISAMC - AXISNIFTY,0,,0,0.01,1,EQ,NSE,NSE
770561,3010,AXISTECETF,AXISAMC - AXISTECETF,0,,0,0.01,1,EQ,NSE,NSE
2632961,10285,AYMSYNTEX,AYM SYNTEX,0,,0,0.05,1,EQ,NSE,NSE
4541953,17742,BAFNAPH,BAFNA PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE
4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,0,,0,0.05,1,EQ,NSE,NSE
3848705,15034,BAJAJELEC,BAJAJ ELECT.LTD,0,,0,0.05,1,EQ,NSE,NSE
4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,,0,0.05,1,EQ,NSE,NSE
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0,,0,0.05,1,EQ,NSE,NSE
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0,,0,0.05,1,EQ,NSE,NSE
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE
2344449,9158,BALAJITELE,BALAJI TELEFILMS,0,,0,0.05,1,EQ,NSE,NSE
3712257,14501,BALAMINES,BALAJI AMINES,0,,0,0.05,1,EQ,NSE,NSE
2895105,11309,BALAXI,BALAXI PHARMA,0,,0,0.05,1,EQ,NSE,NSE
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0,,0,0.05,1,EQ,NSE,NSE
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,NSE,NSE
88833,347,BANARBEADS,BANARAS BEADS,0,,0,0.05,1,EQ,NSE,NSE
89601,350,BANARISUG,BANNARI AMMAN SUGARS,0,,0,0.05,1,EQ,NSE,NSE
3553281,13880,BANCOINDIA,BANCO PRODUCTS (I),0,,0,0.05,1,EQ,NSE,NSE
579329,2263,BANDHANBNK,BANDHAN BANK,0,,0,0.05,1,EQ,NSE,NSE
3917569,15303,BANG,BANG OVERSEAS.,0,,0,0.05,1,EQ,NSE,NSE
210433,822,BANKA,BANKA BIOLOO,0,,0,0.05,1,EQ,NSE,NSE
1195009,4668,BANKBARODA,BANK OF BARODA,0,,0,0.05,1,EQ,NSE,NSE
2928385,11439,BANKBEES,NIP IND ETF BANK BEES,0,,0,0.01,1,EQ,NSE,NSE
1214721,4745,BANKINDIA,BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE
3714817,14511,BANSWRAS,BANSWARA SYNTEX,0,,0,0.05,1,EQ,NSE,NSE
800513,3127,BARBEQUE,BARBEQUE NATION HOSP.,0,,0,0.05,1,EQ,NSE,NSE
94209,368,BASF,BASF INDIA,0,,0,0.05,1,EQ,NSE,NSE
3080705,12034,BASML,BANNARI AM SPIN MILL.,0,,0,0.05,1,EQ,NSE,NSE
94977,371,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,NSE,NSE
4589313,17927,BAYERCROP,BAYER CROPSCIENCE,0,,0,0.05,1,EQ,NSE,NSE
3522817,13761,BBL,BHARAT BIJLEE,0,,0,0.05,1,EQ,NSE,NSE
97281,380,BBTC,BOMBAY BURMAH TRADING COR,0,,0,0.05,1,EQ,NSE,NSE
2261249,8833,BCG,BRIGHTCOM GROUP,0,,0,0.05,1,EQ,NSE,NSE
643329,2513,BCLIND,BCL INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
2985473,11662,BCP,B.C. POWER CONTROLS,0,,0,0.05,1,EQ,NSE,NSE
548865,2144,BDL,BHARAT DYNAMICS,0,,0,0.05,1,EQ,NSE,NSE
416769,1628,BECTORFOOD,MRS BECTORS FOOD SPE,0,,0,0.05,1,EQ,NSE,NSE
5170177,20196,BEDMUTHA,BEDMUTHA INDUST,0,,0,0.05,1,EQ,NSE,NSE
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE
101121,395,BEML,BEML,0,,0,0.05,1,EQ,NSE,NSE
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0,,0,0.05,1,EQ,NSE,NSE
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE
590337,2306,BESTAGRO,BEST AGROLIFE,0,,0,0.05,1,EQ,NSE,NSE
5404929,21113,BFINVEST,BF INVESTMENT,0,,0,0.05,1,EQ,NSE,NSE
3729153,14567,BFUTILITIE,BF UTILITIES,0,,0,0.05,1,EQ,NSE,NSE
3888385,15189,BGRENERGY,BGR ENERGY SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE
3430401,13400,BHAGERIA,BHAGERIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
5318657,20776,BHAGYANGR,BHAGYANAGAR INDIA,0,,0,0.05,1,EQ,NSE,NSE
5460993,21332,BHAGYAPROP,BHAGYANAGAR PRO,0,,0,0.05,1,EQ,NSE,NSE
5006337,19556,BHANDARI,BHANDARI HOSIERY EXP,0,,0,0.05,1,EQ,NSE,NSE
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE
109057,426,BHARATGEAR,BHARAT GEARS.,0,,0,0.05,1,EQ,NSE,NSE
981505,3834,BHARATRAS,BHARAT RASAYAN,0,,0,0.05,1,EQ,NSE,NSE
4127489,16123,BHARATWIRE,BHARAT WIRE ROPES.,0,,0,0.05,1,EQ,NSE,NSE
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE
4718337,18431,BIGBLOC,BIGBLOC CONSTRUCTION,0,,0,0.05,1,EQ,NSE,NSE
120577,471,BINDALAGRO,OSWAL CHEM. & FERT..,0,,0,0.05,1,EQ,NSE,NSE
2911489,11373,BIOCON,BIOCON,0,,0,0.05,1,EQ,NSE,NSE
1058817,4136,BIOFILCHEM,BIOFIL CHEM & PHARMA,0,,0,0.05,1,EQ,NSE,NSE
122113,477,BIRLACABLE,BIRLA CABLE,0,,0,0.05,1,EQ,NSE,NSE
122881,480,BIRLACORPN,BIRLA CORPORATION,0,,0,0.05,1,EQ,NSE,NSE
3901185,15239,BIRLAMONEY,ADITYA BIRLA MONEY,0,,0,0.05,1,EQ,NSE,NSE
4502017,17586,BIRLATYRE,BIRLA TYRES,0,,0,0.05,1,EQ,NSE,NSE
2081793,8132,BLBLIMITED,BLB,0,,0,0.05,1,EQ,NSE,NSE
4931841,19265,BLISSGVS,BLISS GVS PHARMA,0,,0,0.05,1,EQ,NSE,NSE
3402241,13290,BLKASHYAP,B.L.KASHYAP & SON,0,,0,0.05,1,EQ,NSE,NSE
4423425,17279,BLS,BLS INTL SERVS,0,,0,0.05,1,EQ,NSE,NSE
126721,495,BLUEDART,BLUE DART EXPRESS,0,,0,0.05,1,EQ,NSE,NSE
2127617,8311,BLUESTARCO,BLUE STAR,0,,0,0.05,1,EQ,NSE,NSE
6404353,25017,BODALCHEM,BODAL CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE
131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,0,,0,0.05,1,EQ,NSE,NSE
4966657,19401,BOROLTD,BOROSIL,0,,0,0.05,1,EQ,NSE,NSE
806145,3149,BORORENEW,BOROSIL RENEWABLES,0,,0,0.05,1,EQ,NSE,NSE
558337,2181,BOSCHLTD,BOSCH,0,,0,0.05,1,EQ,NSE,NSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0,0.05,1,EQ,NSE,NSE
135681,530,BPL,BPL,0,,0,0.05,1,EQ,NSE,NSE
3344897,13066,BRFL,BOMBAY RAYON FASHIONS,0,,0,0.05,1,EQ,NSE,NSE
3887105,15184,BRIGADE,BRIGADE ENTER.,0,,0,0.05,1,EQ,NSE,NSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
5550849,21683,BRNL,BHARAT ROAD NETWORK,0,,0,0.05,1,EQ,NSE,NSE
6434817,25136,BROOKS,BROOKS LAB,0,,0,0.05,1,EQ,NSE,NSE
5013761,19585,BSE,BSE,0,,0,0.05,1,EQ,NSE,NSE
2469633,9647,BSELINFRA,BSEL INFRASTRUCTURE REALT,0,,0,0.05,1,EQ,NSE,NSE
207105,809,BSHSL,BOMBAY SUPER HYBRID SEEDS,0,,0,0.05,1,EQ,NSE,NSE
143105,559,BSL,BSL,0,,0,0.05,1,EQ,NSE,NSE
6093825,23804,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,0,,0,0.05,1,EQ,NSE,NSE
6343937,24781,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,0,,0,0.01,1,EQ,NSE,NSE
1790465,6994,BSOFT,BIRLASOFT,0,,0,0.05,1,EQ,NSE,NSE
382465,1494,BURGERKING,BURGER KING INDIA,0,,0,0.05,1,EQ,NSE,NSE
695297,2716,BUTTERFLY,BTRFLY GANDHI APPL,0,,0,0.05,1,EQ,NSE,NSE
2027265,7919,BYKE,THE BYKE HOSPITALITY,0,,0,0.05,1,EQ,NSE,NSE
2029825,7929,CADILAHC,CADILA HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE
2135297,8341,CALSOFT,CALIFORNIA SOFTWARE CO LT,0,,0,0.05,1,EQ,NSE,NSE
1591297,6216,CAMLINFINE,CAMLIN FINE SCIENCES,0,,0,0.05,1,EQ,NSE,NSE
87553,342,CAMS,COMPUTER AGE MNGT SER,0,,0,0.05,1,EQ,NSE,NSE
2763265,10794,CANBK,CANARA BANK,0,,0,0.05,1,EQ,NSE,NSE
149249,583,CANFINHOME,CAN FIN HOMES,0,,0,0.05,1,EQ,NSE,NSE
5160961,20160,CANTABIL,CANTABIL RETAIL,0,,0,0.05,1,EQ,NSE,NSE
5567745,21749,CAPACITE,CAPACITE INFRAPROJECT,0,,0,0.05,1,EQ,NSE,NSE
999937,3906,CAPLIPOINT,CAPLIN POINT LAB.,0,,0,0.05,1,EQ,NSE,NSE
4978433,19447,CAPTRUST,CAPITAL TRUST,0,,0,0.05,1,EQ,NSE,NSE
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,0,,0,0.05,1,EQ,NSE,NSE
5142017,20086,CAREERP,CAREER POINT,0,,0,0.05,1,EQ,NSE,NSE
7452929,29113,CARERATING,CARE RATINGS,0,,0,0.05,1,EQ,NSE,NSE
320001,1250,CASTROLIND,CASTROL INDIA,0,,0,0.05,1,EQ,NSE,NSE
2931713,11452,CCL,CCL PRODUCTS (I),0,,0,0.05,1,EQ,NSE,NSE
5420545,21174,CDSL,CENTRAL DEPO SER (I),0,,0,0.05,1,EQ,NSE,NSE
3905025,15254,CEATLTD,CEAT,0,,0,0.05,1,EQ,NSE,NSE
5177345,20224,CEBBCO,COMMERCIAL ENG & CO.,0,,0,0.05,1,EQ,NSE,NSE
3369473,13162,CELEBRITY,CELEBRITY FASHIONS,0,,0,0.05,1,EQ,NSE,NSE
158465,619,CENTENKA,CENTURY ENKA,0,,0,0.05,1,EQ,NSE,NSE
2946817,11511,CENTEXT,CENTURY EXTRUSIONS,0,,0,0.05,1,EQ,NSE,NSE
3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE
628225,2454,CENTRUM,CENTRUM CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
3835393,14982,CENTUM,CENTUM ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE
3406081,13305,CENTURYPLY,CENTURY PLYBOARDS (I),0,,0,0.05,1,EQ,NSE,NSE
160001,625,CENTURYTEX,CENTURY TEXTILES,0,,0,0.05,1,EQ,NSE,NSE
3849985,15039,CERA,CERA SANITARYWARE,0,,0,0.05,1,EQ,NSE,NSE
7683073,30012,CEREBRAINT,CEREBRA INT TECH,0,,0,0.05,1,EQ,NSE,NSE
160769,628,CESC,CESC,0,,0,0.05,1,EQ,NSE,NSE
5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
194561,760,CGPOWER,CG POWER AND IND SOL,0,,0,0.05,1,EQ,NSE,NSE
2187777,8546,CHALET,CHALET HOTELS,0,,0,0.05,1,EQ,NSE,NSE
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE
3742209,14618,CHEMBOND,CHEMBOND CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE
69121,270,CHEMCON,CHEMCON SPECIAL CHEM,0,,0,0.05,1,EQ,NSE,NSE
716545,2799,CHEMFAB,CHEMFAB ALKALIS,0,,0,0.05,1,EQ,NSE,NSE
